,Operator,Week,DateOfSurvey,ReleaseID,SurveyStartTime,SurveyEndTime,QuantifiedPlume,EstimatedEmissionRate,EstimatedEmissionRateUpper,EstimatedEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFLag,OperatorKeep,StanfordKeep,StrictQCKeep
18,SeekOps,2,Wednesday 6/26,19,13:03:00,13:51:00,True,0.35,0.45499999999999996,0.24499999999999997,percent_0.30,,Totaled emission rate of 0.35,True,True,True
19,SeekOps,2,Wednesday 6/26,20,14:00:00,14:51:00,True,29.94,38.922000000000004,20.958,percent_0.30,,Totaled emission rate of 29.94,True,True,True
20,SeekOps,2,Wednesday 6/26,21,15:01:00,15:49:00,True,3.19,4.147,2.2329999999999997,percent_0.30,,Totaled emission rate of 3.19,True,True,True
21,SeekOps,2,Wednesday 6/26,22,16:03:00,16:50:00,True,0.09,0.11699999999999999,0.063,percent_0.30,,Totaled emission rate of 0.09,True,True,True
22,SeekOps,2,Wednesday 6/26,23,17:01:00,17:47:00,True,0.08,0.10400000000000001,0.055999999999999994,percent_0.30,,Totaled emission rate of 0.08,True,True,True
23,SeekOps,2,Thursday 6/27,25,09:03:00,09:46:00,True,14.22,18.486,9.954,percent_0.30,,Totaled emission rate of 14.22,True,True,True
24,SeekOps,2,Thursday 6/27,26,10:06:00,10:55:00,True,16.16,21.008000000000003,11.312,percent_0.30,,Totaled emission rate of 16.16,True,True,True
25,SeekOps,2,Thursday 6/27,27,11:06:00,11:56:00,True,0.55,0.7150000000000001,0.385,percent_0.30,,Totaled emission rate of 0.55,True,True,True
26,SeekOps,2,Thursday 6/27,28,12:09:00,12:55:00,True,5.67,7.371,3.969,percent_0.30,,Totaled emission rate of 5.67,True,True,True
27,SeekOps,2,Thursday 6/27,29,13:29:00,14:15:00,True,9.46,12.298000000000002,6.622,percent_0.30,,Totaled emission rate of 9.46,True,True,True
28,SeekOps,2,Thursday 6/27,30,14:35:00,15:22:00,True,10.0,13.0,7.0,percent_0.30,,Totaled emission rate of 10,True,True,True
29,SeekOps,2,Thursday 6/27,31,15:32:00,16:19:00,True,23.53,30.589000000000002,16.471,percent_0.30,,Totaled emission rate of 23.53,True,True,True
30,SeekOps,2,Thursday 6/27,32,16:35:00,17:24:00,True,1.13,1.4689999999999999,0.7909999999999999,percent_0.30,,Totaled emission rate of 1.13,True,True,True
31,SeekOps,2,Friday 6/28,33,09:00:00,09:47:00,True,2.12,2.7560000000000002,1.484,percent_0.30,,Totaled emission rate of 2.12,True,True,True
32,SeekOps,2,Friday 6/28,34,10:10:00,10:56:00,False,,,,,,UAV not in air during this timeframe.,False,False,False
33,SeekOps,2,Friday 6/28,35,11:02:00,11:49:00,True,6.8,8.84,4.76,percent_0.30,,Totaled emission rate of 6.8,True,True,True
34,SeekOps,2,Friday 6/28,36,12:05:00,12:51:00,True,3.91,5.083,2.737,percent_0.30,,Totaled emission rate of 3.91,True,True,True
