Operator,Week,DateOfSurvey,ReleaseID,SurveyStartTime,SurveyEndTime,QuantifiedPlume,EstimatedEmissionRate,EstimatedEmissionRateUpper,EstimatedEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFLag,OperatorKeep,StanfordKeep,StrictQCKeep
SLB,3,2024-09-12 00:00:00,27,11:07:00,11:55:00,True,1.5,,,mean estimate,0.77,,True,True,True
SLB,3,2024-09-12 00:00:00,28,12:00:00,12:45:00,True,20.28,,,mean estimate,0.93,,True,True,True
SLB,3,2024-09-12 00:00:00,29,13:28:00,14:15:00,True,10.9,,,mean estimate,0.6,,True,True,True
SLB,3,2024-09-12 00:00:00,30,14:31:00,15:17:00,True,0.1,,,mean estimate,0.9,,True,True,True
SLB,3,2024-09-12 00:00:00,31,15:28:00,16:15:00,True,35.27,,,mean estimate,1.1,,True,True,True
SLB,3,2024-09-12 00:00:00,32,16:30:00,17:15:00,True,12.68,,,mean estimate,0.6,,True,True,True
SLB,3,2024-09-13 00:00:00,33,08:45:00,09:32:00,True,0.0,0.0,0.0,,,below LOD or obscured,False,True,True
SLB,3,2024-09-13 00:00:00,34,09:45:00,10:35:00,True,3.36,,,mean estimate,1.0,,True,True,True
SLB,3,2024-09-13 00:00:00,35,10:45:00,11:31:00,True,0.2,,,mean estimate,2.5,,True,True,True
SLB,3,2024-09-13 00:00:00,36,11:45:00,12:33:00,True,105.96,,,mean estimate,2.7,,True,True,True
SLB,3,2024-09-13 00:00:00,37,12:45:00,13:34:00,True,14.29,,,mean estimate,1.9,,True,True,True
SLB,4,Monday 9/16,38,11:00:00,11:46:00,True,0.0,0.0,0.0,,,below LOD or obscured,False,True,True
SLB,4,Monday 9/16,39,11:59:00,12:47:00,True,12.76,,,mean estimate,2.15,,True,True,True
SLB,4,Monday 9/16,40,12:59:00,13:45:00,True,5.04,,,mean estimate,0.9,,True,True,True
SLB,4,Monday 9/16,41,13:59:00,14:46:00,True,5.93,,,mean estimate,1.8,,True,True,True
SLB,4,Monday 9/16,42,14:59:00,15:45:00,True,6.98,,,mean estimate,1.8,,True,True,True
SLB,4,Monday 9/16,43,15:59:00,16:45:00,True,2.59,,,mean estimate,0.1,,True,True,True
SLB,4,Tuesday 9/17,44,09:00:00,09:46:00,True,0.1,,,mean estimate,0.67,,True,True,True
SLB,4,Tuesday 9/17,45,09:59:00,10:46:00,True,2.75,,,mean estimate,0.1,,True,True,True
SLB,4,Tuesday 9/17,46,10:59:00,11:50:00,True,51.43,,,mean estimate,0.27,,True,True,True
SLB,4,Tuesday 9/17,47,11:59:00,12:49:00,True,1.57,,,mean estimate,0.8,,True,True,True
SLB,4,Tuesday 9/17,48,13:00:00,13:46:00,True,0.0,0.0,0.0,,,below LOD or obscured,False,True,True
SLB,4,Tuesday 9/17,49,13:58:00,14:45:00,True,35.52,,,mean estimate,0.61,,True,True,True
SLB,4,Tuesday 9/17,50,14:58:00,15:44:00,True,0.0,0.0,0.0,,,below LOD or obscured,False,True,True
SLB,4,Tuesday 9/17,51,15:57:00,16:45:00,True,16.96,,,mean estimate,1.4,,True,True,True
SLB,4,Wednesday 9/18,52,08:51:00,09:37:00,True,1.32,,,mean estimate,0.4,,True,True,True
SLB,4,Wednesday 9/18,53,09:44:00,10:31:00,True,13.84,,,mean estimate,0.8,,True,True,True
SLB,4,Wednesday 9/18,54,10:45:00,11:31:00,True,0.83,,,mean estimate,0.8,,True,True,True
SLB,4,Wednesday 9/18,55,11:44:00,12:33:00,True,31.22,,,mean estimate,1.0,,True,True,True
SLB,4,Wednesday 9/18,56,12:45:00,13:25:00,True,0.3,,,mean estimate,1.3,,True,True,True
SLB,4,Wednesday 9/18,57,13:30:00,14:16:00,True,0.3,,,mean estimate,0.8,,True,True,True
SLB,4,Wednesday 9/18,58,14:29:00,15:16:00,True,0.0,0.0,0.0,,,below LOD or obscured,False,True,True
SLB,4,Wednesday 9/18,59,15:30:00,16:19:00,True,60.38,,,mean estimate,1.2,,True,True,True
SLB,4,Wednesday 9/18,60,16:31:00,17:19:00,True,0.3,,,mean estimate,1.2,,True,True,True
SLB,4,Thursday 9/19,61,08:45:00,09:33:00,True,12.36,,,mean estimate,0.5,,True,True,True
SLB,4,Thursday 9/19,62,09:45:00,10:31:00,True,1.18,,,mean estimate,0.32,,True,True,True
SLB,4,Thursday 9/19,63,10:44:00,11:32:00,True,0.75,,,mean estimate,0.75,,True,True,True
SLB,4,Thursday 9/19,64,11:44:00,12:31:00,True,2.9,,,mean estimate,0.17,,True,True,True
SLB,4,Thursday 9/19,65,12:44:00,13:32:00,True,16.68,,,mean estimate,0.9,,True,True,True
SLB,4,Thursday 9/19,66,13:46:00,14:34:00,True,0.3,,,mean estimate,1.37,,True,True,True
SLB,4,Thursday 9/19,67,14:44:00,15:31:00,True,42.0,,,mean estimate,0.3,,True,True,True
SLB,4,Thursday 9/19,68,15:44:00,16:34:00,True,1.99,,,mean estimate,2.44,,True,True,True
SLB,4,Thursday 9/19,69,16:44:00,17:38:00,True,18.65,,,mean estimate,1.5,,True,True,True
SLB,4,Friday 9/20,70,08:45:00,09:31:00,True,8.45,,,mean estimate,0.9,,True,True,True
SLB,4,Friday 9/20,71,09:45:00,10:34:00,True,18.18,,,mean estimate,0.13,,True,True,True
SLB,4,Friday 9/20,72,10:45:00,11:34:00,True,15.17,,,mean estimate,0.13,,True,True,True
SLB,4,Friday 9/20,73,11:46:00,12:33:00,True,0.4,,,mean estimate,0.55,,True,True,True
SLB,4,Friday 9/20,74,12:47:00,13:33:00,True,6.38,,,mean estimate,0.8,,True,True,True
SLB,4,Friday 9/20,75,13:51:00,14:30:00,True,0.2,,,mean estimate,0.8,,True,True,True
SLB,4,Friday 9/20,76,14:32:00,15:32:00,True,6.68,,,mean estimate,0.43,,True,True,True
SLB,4,Friday 9/20,77,15:32:00,16:42:00,True,13.66,,,mean estimate,,,True,True,True
