,release_rate,release_sigma,operator_report,operator_sigma_lower,operator_sigma_upper
112,0.57,0,0.75,0.46,0.020000000000000018
113,56.7,0,1.98,0.5700000000000001,0.2799999999999998
114,11.17,0,15.64,13.68,0.0
115,28.71,0,1.11,0.3500000000000001,0.44999999999999996
116,21.64,0,8.1,7.859999999999999,0.0
117,9.23,0,5.96,3.9699999999999998,0.0
118,0.9,0,0.57,0.33999999999999997,1.8900000000000001
119,7.3,0,7.71,6.15,0.0
120,79.2,0,13.8,13.020000000000001,0.0
121,5.5,0,0.75,0.06000000000000005,1.23
123,54.0,0,12.96,11.97,0.0
125,44.0,0,0.35,0.15999999999999998,0.0
126,0.5,0,0.16,0.04000000000000001,0.09
127,38.47,0,3.96,3.19,0.0
128,1.45,0,0.6,0.06999999999999995,4.7
129,52.94,0,4.96,4.09,0.0
130,0.29,0,1.22,1.0979999999999999,0.0
131,8.25,0,4.59,4.31,0.0
132,0.19,0,0.85,0.6799999999999999,0.0
133,290.0,0,76.13,56.709999999999994,0.0
134,0.73,0,0.72,0.43999999999999995,0.0
135,28.71,0,0.37,0.32,0.0
136,1.63,0,1.68,1.47,0.4099999999999999
137,2.01,0,0.41,0.17999999999999997,0.06
138,4.14,0,0.34,0.13000000000000003,0.02999999999999997
139,49.01,0,21.2,19.68,0.0
140,1.14,0,2.42,2.12,0.0
141,80.1,0,1.11,0.7200000000000001,0.0
142,8.25,0,5.88,5.45,0.0
143,26.4,0,183.19,178.03,0.0
145,38.47,0,0.734,0.374,0.026000000000000023
146,34.4,0,0.71,0.42999999999999994,0.0
147,1.0,0,0.16,0.11,0.010000000000000009
148,17.93,0,1.2,1.0699999999999998,0.0
150,54.0,0,0.77,0.38,0.9199999999999999
151,250.8,0,34.0,33.7,0.0
